id,timestamp,balance,equity,margin,free_margin,margin_level,total_profit,symbol_pnl,chat_id
39327,2026-01-22 04:03:46.850395,82.63,82.99,1.1400000000000001,81.85,7279.824561403509,0.36,0.36,
39326,2026-01-22 04:03:38.589155,82.63,82.65,1.1400000000000001,81.51,7250.0,0.02,0.0,
39325,2026-01-22 04:03:38.589155,82.63,82.65,1.1400000000000001,81.51,7250.0,0.02,0.0,
39324,2026-01-22 04:03:36.758306,82.63,82.67,1.1400000000000001,81.53,7251.754385964912,0.04,0.04,
39323,2026-01-22 04:03:36.758306,82.63,82.67,1.1400000000000001,81.53,7251.754385964912,0.04,0.04,
39322,2026-01-22 04:03:28.554351,82.63,82.48,1.1400000000000001,81.34,7235.087719298245,-0.15,0.0,
39321,2026-01-22 04:03:28.554351,82.63,82.48,1.1400000000000001,81.34,7235.087719298245,-0.15,0.0,
39320,2026-01-22 04:03:26.673773,82.63,82.42,1.1400000000000001,81.28,7229.824561403509,-0.21,-0.21,
39319,2026-01-22 04:03:26.673773,82.63,82.42,1.1400000000000001,81.28,7229.824561403509,-0.21,-0.21,
39318,2026-01-22 04:03:18.518575,82.63,83.06,1.1400000000000001,81.92,7285.964912280701,0.43,0.0,
39317,2026-01-22 04:03:18.518575,82.63,83.06,1.1400000000000001,81.92,7285.964912280701,0.43,0.0,
39316,2026-01-22 04:03:16.587168,82.63,83.09,1.1400000000000001,81.95,7288.59649122807,0.46,0.46,
39315,2026-01-22 04:03:16.587168,82.63,83.09,1.1400000000000001,81.95,7288.59649122807,0.46,0.46,
39314,2026-01-22 04:03:08.480722,82.63,83.3,1.1400000000000001,82.16,7307.017543859648,0.67,0.0,
39313,2026-01-22 04:03:08.480722,82.63,83.3,1.1400000000000001,82.16,7307.017543859648,0.67,0.0,
39312,2026-01-22 04:03:06.493959,82.63,83.11,1.1400000000000001,81.97,7290.350877192982,0.48,0.48,
39311,2026-01-22 04:03:06.493959,82.63,83.11,1.1400000000000001,81.97,7290.350877192982,0.48,0.48,
39310,2026-01-22 04:02:58.441143,82.63,83.24,1.1400000000000001,82.1,7301.754385964911,0.61,0.0,
39309,2026-01-22 04:02:58.441143,82.63,83.24,1.1400000000000001,82.1,7301.754385964911,0.61,0.0,
39308,2026-01-22 04:02:56.404921,82.63,83.06,1.1400000000000001,81.92,7285.964912280701,0.43,0.43,
39307,2026-01-22 04:02:56.404921,82.63,83.06,1.1400000000000001,81.92,7285.964912280701,0.43,0.43,
39306,2026-01-22 04:02:48.405222,82.63,83.35,1.1400000000000001,82.21,7311.4035087719285,0.72,0.0,
39305,2026-01-22 04:02:48.405222,82.63,83.35,1.1400000000000001,82.21,7311.4035087719285,0.72,0.0,
39304,2026-01-22 04:02:46.312447,82.63,83.39,1.1400000000000001,82.25,7314.912280701754,0.76,0.76,
39303,2026-01-22 04:02:46.312447,82.63,83.39,1.1400000000000001,82.25,7314.912280701754,0.76,0.76,
39302,2026-01-22 04:02:38.365712,82.63,82.89,1.1400000000000001,81.75,7271.052631578947,0.26,0.0,
39301,2026-01-22 04:02:38.365712,82.63,82.89,1.1400000000000001,81.75,7271.052631578947,0.26,0.0,
39300,2026-01-22 04:02:36.213867,82.63,82.68,1.1400000000000001,81.54,7252.631578947368,0.05,0.05,
39299,2026-01-22 04:02:36.213867,82.63,82.68,1.1400000000000001,81.54,7252.631578947368,0.05,0.05,
39298,2026-01-22 04:02:28.319617,82.63,82.65,1.1400000000000001,81.51,7250.0,0.02,0.0,
39297,2026-01-22 04:02:28.319617,82.63,82.65,1.1400000000000001,81.51,7250.0,0.02,0.0,
39296,2026-01-22 04:02:26.102406,82.63,82.41,1.1400000000000001,81.27,7228.947368421052,-0.22,-0.22,
39295,2026-01-22 04:02:26.102406,82.63,82.41,1.1400000000000001,81.27,7228.947368421052,-0.22,-0.22,
39294,2026-01-22 04:02:18.280899,82.63,82.42,1.1400000000000001,81.28,7229.824561403509,-0.21,0.0,
39293,2026-01-22 04:02:18.280899,82.63,82.42,1.1400000000000001,81.28,7229.824561403509,-0.21,0.0,
39292,2026-01-22 04:02:16.008668,82.63,82.47,1.1400000000000001,81.33,7234.210526315789,-0.16,-0.16,
39291,2026-01-22 04:02:16.008668,82.63,82.47,1.1400000000000001,81.33,7234.210526315789,-0.16,-0.16,
39290,2026-01-22 04:02:08.241955,82.63,82.36,1.1400000000000001,81.22,7224.561403508771,-0.27,0.0,
39289,2026-01-22 04:02:08.241955,82.63,82.36,1.1400000000000001,81.22,7224.561403508771,-0.27,0.0,
39288,2026-01-22 04:02:05.917094,82.63,82.22,1.1400000000000001,81.08,7212.280701754385,-0.41,-0.41,
39287,2026-01-22 04:02:05.917094,82.63,82.22,1.1400000000000001,81.08,7212.280701754385,-0.41,-0.41,
39286,2026-01-22 04:01:58.203843,82.63,82.57,1.1400000000000001,81.43,7242.982456140349,-0.06,0.0,
39285,2026-01-22 04:01:58.203843,82.63,82.57,1.1400000000000001,81.43,7242.982456140349,-0.06,0.0,
39284,2026-01-22 04:01:55.827803,82.63,82.56,1.1400000000000001,81.42,7242.105263157894,-0.07,-0.07,
39283,2026-01-22 04:01:55.827803,82.63,82.56,1.1400000000000001,81.42,7242.105263157894,-0.07,-0.07,
39282,2026-01-22 04:00:33.549214,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39281,2026-01-22 04:00:33.549214,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39280,2026-01-22 04:00:28.541333,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39279,2026-01-22 04:00:28.541333,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39278,2026-01-22 03:59:57.019573,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39277,2026-01-22 03:59:57.019573,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39276,2026-01-22 03:59:50.672104,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39275,2026-01-22 03:59:50.672104,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
